"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"aldehyde dehydrogenase (NAD+) activity";1;4;5;"6";1;0;0;4
"2";"amino acid transmembrane transporter activity";6;2;8;"8";0;0;6;2
"3";"cyclin-dependent protein serine/threonine kinase activity";3;4;7;"16";0;0;3;4
"4";"heme binding";7;3;10;"18";0;0;7;3
"5";"kinase activity";23;16;39;"20";0;0;23;16
"6";"ligase activity";23;10;33;"9";0;0;23;10
"7";"oxidoreductase activity, acting on the CH-CH group of donors";2;3;5;"2";0;0;2;3
"8";"protein serine kinase activity";14;9;23;"10";0;0;14;9
"9";"protein serine/threonine kinase activity";19;12;31;"7";0;0;19;12
"10";"RNA polymerase II CTD heptapeptide repeat kinase activity";2;3;5;"12";0;0;2;3
"11";"RNA-DNA hybrid ribonuclease activity";3;10;13;"15";0;0;3;10
"12";"tRNA binding";6;1;7;"20";0;0;6;1
"13";"All";1656;1421;3077;"";10;13;1646;1408
