"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"actin filament binding";4;8;12;"16";0;0;4;8
"2";"carboxy-lyase activity";3;2;5;"6";0;0;3;2
"3";"chaperone binding";3;7;10;"7";0;0;3;7
"4";"copper ion binding";1;8;9;"11";0;0;1;8
"5";"D-threo-aldose 1-dehydrogenase activity";4;3;7;"20";0;0;4;3
"6";"enzyme regulator activity";4;2;6;"22";0;0;4;2
"7";"GTPase activator activity";5;11;16;"12";0;0;5;11
"8";"heat shock protein binding";5;5;10;"21";0;0;5;5
"9";"hydrolase activity, hydrolyzing O-glycosyl compounds";7;2;9;"17";0;0;7;2
"10";"molecular adaptor activity";2;5;7;"24";0;0;2;5
"11";"NAD binding";6;1;7;"6";0;0;6;1
"12";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";3;3;6;"2";0;0;3;3
"13";"phospholipid binding";3;4;7;"6";0;0;3;4
"14";"protein folding chaperone";5;3;8;"16";0;0;5;3
"15";"protein-macromolecule adaptor activity";3;6;9;"13";0;0;3;6
"16";"ubiquitin protein ligase binding";4;1;5;"18";0;0;4;1
"17";"unfolded protein binding";14;16;30;"13";0;0;14;16
"18";"All";1531;1546;3077;"";8;15;1523;1531
