model.rxnNames	ecST6512_avg	ecST6512_std	ecOKYL029_avg	ecOKYL029_std	ecJFYL07_avg	ecJFYL07_std	ecJFYL14_avg	ecJFYL14_std	ecJFYL18_avg	ecJFYL18_std
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
(R)-lactate:ferricytochrome-c 2-oxidoreductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
(S)-lactate:ferricytochrome-c 2-oxidoreductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1,3-beta-glucan synthase	0.08580161	0.00081282	0.07571072	0.00064471	0.05760901	0.00070515	0.07940305	0.00068340	0.06965736	0.00074418
(1-6)-beta-glucan synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0.00490044	0.00004642	0.00432411	0.00003682	0.00329026	0.00004027	0.00453500	0.00003903	0.00397838	0.00004250
1-phosphatidylinositol-3-phosphate 5-kinase	0.00041976	0.00739681	0.00039701	0.00747860	0.00025022	0.00556337	0.00086232	0.01750778	0.00044457	0.00836009
1-phosphatidylinositol-3-phosphate 5-kinase	0.00000532	0.00015362	0.00000593	0.00014131	0.00000774	0.00017284	0.00001156	0.00025830	0.00001404	0.00027498
1-pyrroline-5-carboxylate dehydrogenase	0.00321932	0.01523785	0.00041169	0.00403003	0.02052815	0.02766623	0.00365544	0.01873398	0.00749789	0.01739875
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-aceto-2-hydroxybutanoate synthase	0.00823692	0.00007803	0.00726820	0.00006189	0.00553044	0.00006769	0.00762266	0.00006561	0.00668708	0.00007144
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-aminoadipate transaminase	0.02501755	0.00025686	0.02211602	0.00060073	0.01690998	0.00053615	0.02318961	0.00055075	0.02031165	0.00023044
2-dehydropantoate 2-reductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-hexaprenyl-6-methoxyphenol monooxygenase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-isopropylmalate hydratase	-0.01784858	0.00058064	-0.01567060	0.00034621	-0.01199984	0.00075740	-0.01692041	0.00278629	-0.01452489	0.00050312
2-isopropylmalate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-isopropylmalate synthase	0.01848360	0.00095023	0.01574350	0.00046511	0.01235257	0.00198391	0.01701983	0.00288931	0.01519301	0.00082302
2-keto-4-methylthiobutyrate transamination	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
homoaconitase	0.02501965	0.00026236	0.02211913	0.00060374	0.01691667	0.00053928	0.02319601	0.00055829	0.02031532	0.00023590
2-methylcitrate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0.01784858	0.00058064	0.01567060	0.00034621	0.01199984	0.00075740	0.01692041	0.00278629	0.01452489	0.00050312
3',5'-bisphosphate nucleotidase	0.00435320	0.00004124	0.00384123	0.00003271	0.00292283	0.00003578	0.00402856	0.00003467	0.00353411	0.00003776
3',5'-cyclic-nucleotide phosphodiesterase	0.00025067	0.00355853	0.00011758	0.00237763	0.00015323	0.00285422	0.00023659	0.00426398	0.00059944	0.00560163
3',5'-cyclic-nucleotide phosphodiesterase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3',5'-cyclic-nucleotide phosphodiesterase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3',5'-cyclic-nucleotide phosphodiesterase	0.00006493	0.00187345	0.00007475	0.00181275	0.00001704	0.00069446	0.00018341	0.00361465	0.00022400	0.00383504
3',5'-cyclic-nucleotide phosphodiesterase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3,4-dihydroxy-2-butanone-4-phosphate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-dehydroquinate dehydratase	0.01146025	0.00010857	0.01011245	0.00008611	0.00769466	0.00009418	0.01060562	0.00009128	0.00930392	0.00009940
3-dehydroquinate synthase	0.01146025	0.00010857	0.01011245	0.00008611	0.00769466	0.00009418	0.01060562	0.00009128	0.00930392	0.00009940
3-dehydrosphinganine reductase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.01146025	0.00010857	0.01011245	0.00008611	0.00769466	0.00009418	0.01060562	0.00009128	0.00930392	0.00009940
3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-hydroxy-L-kynurenine hydrolase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	0.00017529	0.00074520	0.00007846	0.00039086	0.00006249	0.00032995	0.00007737	0.00038611	0.00012019	0.00062118
3-hydroxyanthranilate 3,4-dioxygenase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-isopropylmalate dehydratase	-0.01784858	0.00058064	-0.01567060	0.00034621	-0.01199984	0.00075740	-0.01692041	0.00278629	-0.01452489	0.00050312
3-isopropylmalate dehydrogenase	0.01784858	0.00058064	0.01567060	0.00034621	0.01199984	0.00075740	0.01692041	0.00278629	0.01452489	0.00050312
3-methyl-2-oxobutanoate hydroxymethyltransferase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3-phosphoshikimate 1-carboxyvinyltransferase	0.01146025	0.00010857	0.01011245	0.00008611	0.00769466	0.00009418	0.01060562	0.00009128	0.00930392	0.00009940
4-amino-4-deoxychorismate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4-aminobenzoate synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4-aminobutyrate transaminase	0.00067056	0.00512532	0.00102540	0.00784075	0.04089475	0.00255084	0.00086378	0.00623300	0.00077402	0.00607331
4-hydroxy-L-threonine synthase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4-hydroxybenzoate formation	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4PP-IP5 depyrophosphorylation to IP6	-0.00000520	0.00010194	-0.00000517	0.00011111	-0.00000619	0.00025281	-0.00001941	0.00055995	-0.00000222	0.00005922
4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	0.00000520	0.00010194	0.00000517	0.00011111	0.00000619	0.00025281	0.00001941	0.00055995	0.00000222	0.00005922
5'-methylthioadenosine phosphorylase	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5'-nucleotidase (CMP)	0.00016934	0.00410307	0.00019105	0.00441608	0.00020354	0.00456137	0.00053524	0.01130354	0.00041058	0.00719160
5'-nucleotidase (IMP)	0.00001042	0.00010750	0.00001025	0.00010416	0.00000944	0.00011759	0.00000615	0.00011222	0.00000645	0.00010447
