YALI0;YALI1
;YALI1_A00014g
;YALI1_A00019g
;YALI1_A00032g
YALI0A00110g;YALI1_A00058g
YALI0A00132g;YALI1_A00102g
;YALI1_A00135g
YALI0A00154g;YALI1_A00148g
YALI0A00176g;YALI1_A00204g
YALI0A00198g;YALI1_A00241g
YALI0A00212g;YALI1_A00252g
YALI0A00220r;YALI1_A00271r
YALI0A00264g;YALI1_A00309g
YALI0A00286g;YALI1_A00325g
YALI0A00297g;YALI1_A00348g
YALI0A00308t;YALI1_A00358t
YALI0A00330g;YALI1_A00375g
YALI0A00352g;YALI1_A00406g
YALI0A00369g;YALI1_A00447g
YALI0A00374g;YALI1_A00468g
YALI0A00396g;YALI1_A00504g
YALI0A00418g;YALI1_A00538g
YALI0A00440g;YALI1_A00558g
;YALI1_A00574g
YALI0A00462r;YALI1_A00579r
YALI0A00506g;YALI1_A00601g
YALI0A00528g;YALI1_A00661g
YALI0A00550g;YALI1_A00683g
YALI0A00572g;YALI1_A00715g
YALI0A00594g;YALI1_A00746g
YALI0A00616g;YALI1_A00789g
YALI0A00638g;YALI1_A00801g
YALI0A00660g;YALI1_A00829g
YALI0A00682g;YALI1_A00867g
;YALI1_A00905g
;YALI1_A00911g
YALI0A00715r;YALI1_A00921r
YALI0A00759g;YALI1_A00947g
YALI0A00781g;YALI1_A00983g
YALI0A00803g;YALI1_A01061g
;YALI1_A01074g
YALI0A00825g;YALI1_A01093g
YALI0A00847g;YALI1_A01122g
YALI0A00869g;YALI1_A01143g
YALI0A00891g;YALI1_A01173g
YALI0A00913g;YALI1_A01198g
;YALI1_A01230g
YALI0A00935g;YALI1_A01240g
;YALI1_A01241g
YALI0A00957g;YALI1_A01249g
;YALI1_A01260g
YALI0A00979g;YALI1_A01267g
YALI0A01001g;YALI1_A01298g
YALI0A01023g;YALI1_A01394g
;YALI1_A01430g
;YALI1_A01434g
YALI0A01045g;YALI1_A01468g
YALI0A01067g;YALI1_A01505g
YALI0A01089g;YALI1_A01537g
YALI0A01111g;YALI1_A01577g
YALI0A01133g;YALI1_A01602g
;YALI1_A01618g
YALI0A01155g;YALI1_A01628g
YALI0A01177r;YALI1_A01642r
YALI0A01221r;YALI1_A01654r
YALI0A01265g;YALI1_A01670g
YALI0A01287r;YALI1_A01689r
YALI0A01331g;YALI1_A01717g
;YALI1_A01732g
;YALI1_A01736g
YALI0A01353g;YALI1_A01766g
YALI0A01375g;YALI1_A01777g
YALI0A01389r;YALI1_A01786r
YALI0A01397g;YALI1_A01794g
YALI0A01419g;YALI1_A01824g
YALI0A01441g;YALI1_A01842g
;YALI1_A01854g
YALI0A01452g;YALI1_A01864g
;YALI1_A01868g
YALI0A01463g;YALI1_A01888g
YALI0A01485g;YALI1_A01905g
YALI0A01507g;YALI1_A01945g
;YALI1_A02022g
YALI0A01650g;YALI1_A02037g
YALI0A01672r;YALI1_A02057r
YALI0A01716g;YALI1_A02075g
YALI0A01738g;YALI1_A02083g
YALI0A01760g;YALI1_A02096g
;YALI1_A02113g
YALI0A01782g;YALI1_A02131g
YALI0A01804r;YALI1_A02138r
YALI0A01826g;YALI1_A02150g
YALI0A01848g;YALI1_A02190g
YALI0A01870g;YALI1_A02198g
YALI0A01892g;YALI1_A02263g
;YALI1_A02301g
YALI0A01914r;YALI1_A02318r
YALI0A01958g;YALI1_A02335g
YALI0A01980g;YALI1_A02365g
YALI0A02002g;YALI1_A02394g
YALI0A02024g;YALI1_A02426g
YALI0A02046g;YALI1_A02443g
YALI0A02068g;YALI1_A02461g
YALI0A02090g;YALI1_A02470g
YALI0A02112g;YALI1_A02499g
YALI0A02134g;YALI1_A02546g
YALI0A02156g;YALI1_A02552g
YALI0A02178g;YALI1_A02561g
YALI0A02200g;YALI1_A02568g
YALI0A02222g;YALI1_A02615g
YALI0A02244g;YALI1_A02653g
YALI0A02266g;YALI1_A02682g
YALI0A02288g;YALI1_A02728g
YALI0A02310g;YALI1_A02775g
YALI0A02332g;YALI1_A02813g
;YALI1_A02819g
